text,label
"hello friend",0
"have a great day",0
"thanks for helping",0
"that was a smart answer",0
"please send the file",0
"good morning everyone",0
"this meeting starts soon",0
"i appreciate your feedback",0
"classic album",0
"assessment is due today",0
"pass the salt please",0
"the ship left early",0
"the assistant answered clearly",0
"we need to assess the results",0
"the class starts at noon",0
"that recipe needs more salt",0
"please assign this task",0
"the glass is on the table",0
"he passed the exam",0
"the bass guitar sounds good",0
"this document is clean",0
"i like this project",0
"can you review this note",0
"the schedule looks fine",0
"that movie was boring",0
"i disagree with that idea",0
"this is frustrating",0
"stop sending duplicate messages",0
"that answer is incorrect",0
"the server returned an error",0
"please calm down",0
"i need more context",0
"that was not helpful",0
"this code has a bug",0
"the package failed to install",0
"what the fuck",1
"fuck you",1
"fuck off",1
"this is shit",1
"what an asshole",1
"damn that was bad",1
"that is bullshit",1
"you are a bastard",1
"this sucks ass",1
"shut the hell up",1
"f*ck this",1
"that was shitty",1
"you are full of shit",1
"this is fucking awful",1
"go to hell",1
"that guy is an ass",1
"what a dumbass",1
"this is crap",1
"piss off",1
"you piece of shit",1
"that is a shitty excuse",1
"stop being an asshole",1
"holy shit",1
"that was fucking stupid",1
"eat shit",1
"you bastard",1
"this damn thing broke",1
"what the hell is this",1
"bullshit answer",1
"you are a jackass",1
"this is ass",1
"f u c k this",1
"fck that",1
"sh1t happens",1
"that is total bs",1
"dammit",1
